index,element,charge,coordination,ionicradius,variant
Ni3+VI,Ni,3,6,0.64,lowspin
Ni3+VI,Ni,3,6,0.68,highspin
Np2+VI,Np,2,6,1.18,
Np3+VI,Np,3,6,1.1,
Np4+VIII,Np,4,8,1.06,
O2-II,O,-2,2,1.27,
O2-III,O,-2,3,1.28,
O2-IV,O,-2,4,1.3,
O2-VI,O,-2,6,1.32,
O2-VIII,O,-2,8,1.34,
Os4+VI,Os,4,6,0.71,
P5+IV,P,5,4,0.25,
Pa4+VIII,Pa,4,8,1.09,
Pa5+VIII,Pa,5,8,0.99,
Pa5+IX,Pa,5,9,1.03,
Pb2+IV,Pb,2,4,1.02,pyramidal
Pb2+VI,Pb,2,6,1.26,
Pb2+VIII,Pb,2,8,1.37,
Pb2+IX,Pb,2,9,1.41,
Pb2+XI,Pb,2,11,1.47,
Pb2+XII,Pb,2,12,1.57,
Pb4+VI,Pb,4,6,0.86,
Pb4+VIII,Pb,4,8,1.02,
Pd1+II,Pd,1,2,0.67,
Pd2+IV,Pd,2,4,0.72,squareplanar
Pd2+VI,Pd,2,6,0.94,
Pd3+VI,Pd,3,6,0.84,
Pd4+VI,Pd,4,6,0.7,
Pm3+VI,Pm,3,6,1.04,
Po4+VIII,Po,4,8,1.16,
Pr3+VI,Pr,3,6,1.08,
Pr3+VIII,Pr,3,8,1.22,
Pr4+VI,Pr,4,6,0.86,
Pr4+VIII,Pr,4,8,1.07,
Pt2+IV,Pt,2,4,0.68,squareplanar
Pt4+VI,Pt,4,6,0.71,
Pu3+VI,Pu,3,6,1.09,
Pu4+VI,Pu,4,6,0.88,
Pu4+VIII,Pu,4,8,1.04,
Ra2+VIII,Ra,2,8,1.56,
Ra2+XII,Ra,2,12,1.72,
Rb1+VI,Rb,1,6,1.57,
Rb1+VII,Rb,1,7,1.64,
Rb1+VIII,Rb,1,8,1.68,
Rb1+X,Rb,1,10,1.74,
Rb1+XII,Rb,1,12,1.81,
Re4+VI,Re,4,6,0.71,
Re5+VI,Re,5,6,0.6,
Re6+VI,Re,6,6,0.6,
Re7+IV,Re,7,4,0.48,
Re7+VI,Re,7,6,0.65,
Rh3+VI,Rh,3,6,0.75,
Rh4+VI,Rh,4,6,0.71,
Ru3+VI,Ru,3,6,0.76,
Ru4+VI,Ru,4,6,0.7,
S2-IV,S,-2,4,1.56,
S2-VI,S,-2,6,1.72,
S2-VIII,S,-2,8,1.78,
S6+IV,S,6,4,0.2,
Sb3+IV,Sb,3,4,0.85,pyramidal
Sb3+V,Sb,3,5,0.88,
Sb5+VI,Sb,5,6,0.69,
Sc3+VI,Sc,3,6,0.83,
Sc 3+VIII,Sc ,3,8,0.95,
Se2-VI,Se,-2,6,1.88,
