Title: MORB_Gale2013-4

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
5000.00 1183.15 100.080502 0.399379 1.836340 23.915535 23.299851 8.678986 41.950411 0.000000 0.000000 0.000000 
5000.00 1178.15 100.079387 0.399114 1.847376 23.914915 23.280813 8.708952 41.928217 0.000000 0.000000 0.000000 
5000.00 1173.15 100.078279 0.398857 1.858221 23.914984 23.262555 8.737755 41.905907 0.000000 0.000000 0.000000 
5000.00 1168.15 100.077176 0.398606 1.868865 23.915712 23.245077 8.765444 41.883471 0.000000 0.000000 0.000000 
5000.00 1163.15 100.076080 0.398363 1.879299 23.917071 23.228382 8.792067 41.860898 0.000000 0.000000 0.000000 
5000.00 1158.15 100.074990 0.398127 1.889513 23.919034 23.212473 8.817667 41.838176 0.000000 0.000000 0.000000 
5000.00 1153.15 100.073906 0.397898 1.899497 23.921579 23.197350 8.842287 41.815296 0.000000 0.000000 0.000000 
5000.00 1148.15 100.072829 0.397675 1.909243 23.924685 23.183017 8.865964 41.792245 0.000000 0.000000 0.000000 
5000.00 1143.15 100.071759 0.397458 1.918739 23.928335 23.169477 8.888738 41.769012 0.000000 0.000000 0.000000 
5000.00 1138.15 100.070695 0.397247 1.927976 23.932512 23.156734 8.910641 41.745585 0.000000 0.000000 0.000000 
5000.00 1133.15 100.069638 0.397042 1.936944 23.937202 23.144789 8.931708 41.721953 0.000000 0.000000 0.000000 
5000.00 1128.15 100.068589 0.396843 1.945634 23.942392 23.133647 8.951970 41.698102 0.000000 0.000000 0.000000 
5000.00 1123.15 100.067546 0.396650 1.954034 23.948073 23.123312 8.971456 41.674021 0.000000 0.000000 0.000000 
5000.00 1118.15 100.066510 0.396462 1.962135 23.954235 23.113788 8.990194 41.649696 0.000000 0.000000 0.000000 
5000.00 1113.15 100.065482 0.396280 1.969927 23.960869 23.105078 9.008211 41.625116 0.000000 0.000000 0.000000 
5000.00 1108.15 100.064461 0.396102 1.977400 23.967970 23.097187 9.025533 41.600268 0.000000 0.000000 0.000000 
5000.00 1103.15 100.063447 0.395930 1.984543 23.975532 23.090120 9.042184 41.575139 0.000000 0.000000 0.000000 
5000.00 1098.15 100.062441 0.395763 1.991347 23.983550 23.083880 9.058186 41.549715 0.000000 0.000000 0.000000 
5000.00 1093.15 100.061442 0.395601 1.997801 23.992022 23.078472 9.073562 41.523985 0.000000 0.000000 0.000000 
5000.00 1088.15 100.060451 0.395443 2.003896 24.000944 23.073900 9.088333 41.497935 0.000000 0.000000 0.000000 
5000.00 1083.15 100.059468 0.395290 2.009622 24.010316 23.070170 9.102518 41.471551 0.000000 0.000000 0.000000 
5000.00 1078.15 100.058492 0.395142 2.014968 24.020136 23.067286 9.116137 41.444823 0.000000 0.000000 0.000000 
5000.00 1073.15 100.057524 0.394998 2.019927 24.030403 23.065251 9.129209 41.417736 0.000000 0.000000 0.000000 
5000.00 1068.15 100.056564 0.394859 2.024487 24.041118 23.064071 9.141750 41.390279 0.000000 0.000000 0.000000 
5000.00 1063.15 100.055612 0.394724 2.028640 24.052282 23.063750 9.153777 41.362439 0.000000 0.000000 0.000000 
5000.00 1058.15 100.054667 0.394593 2.032378 24.063895 23.064290 9.165307 41.334204 0.000000 0.000000 0.000000 
5000.00 1053.15 100.053731 0.394466 2.035692 24.075957 23.065697 9.176356 41.305564 0.000000 0.000000 0.000000 
5000.00 1048.15 100.052802 0.394343 2.038573 24.088471 23.067972 9.186937 41.276506 0.000000 0.000000 0.000000 
5000.00 1043.15 100.051882 0.394224 2.041014 24.101438 23.071119 9.197065 41.247022 0.000000 0.000000 0.000000 
5000.00 1038.15 100.050969 0.394110 2.043009 24.114857 23.075139 9.206755 41.217100 0.000000 0.000000 0.000000 
5000.00 1033.15 100.050065 0.393999 2.044550 24.128730 23.080033 9.216018 41.186734 0.000000 0.000000 0.000000 
